4684	2990
4684	2990
169	1713
6859	964
17592	2693
14612	1729
5452	1011
4774	1121
11610	2700
9241	1488
1713	2140
59	3292
6569	3249
10444	1760
4348	1113
4461	845
12023	1332
4993	1091
4635	945
5386	1625
7726	2391
10758	3325
12038	2365
10514	2254
1989	2148
13090	2310
11539	1067
12003	2383
541	1302
9207	1498
9207	1498
10040	1289
11031	1320
9114	1022
9114	1022
11645	1019
7895	1052
1134	988
14412	1374
6850	2127
5423	3231
12254	3244
7411	3256
11456	1002
17121	2281
1053	2975
389	1019
10687	1306
10687	1306
4220	2923
4220	2923
5013	1011
11475	2669
9866	1021
14553	1354
1075	3119
15788	3315
4266	1324
4266	1324
12760	1313
8290	3311
51	3245
7793	1056
14435	1813
1255	1015
6919	1672
17712	2400
1381	2455
11564	1629
4690	1143
4690	1143
10469	3292
4730	3008
4730	3008
11428	2664
16915	1148
17707	3130
12861	2621
9429	3283
13810	2621
6940	1122
9099	3270
11484	1343
11576	1632
12421	2574
8134	1848
542	1691
9930	3266
16437	3323
16437	3323
10491	984
1544	3275
273	2717
6488	2417
6488	2417
11559	1059
4175	2725
4175	2725
415	3327
15221	2621
17701	3302
8551	3241
584	1739
11645	2413
1556	3327
14602	1622
17688	895
16607	969
7449	1892
17207	967
1102	1011
15937	1488
223	2242
14428	1848
10255	1630
10255	1630
10255	1630
7348	1955
14617	1262
14198	3322
16562	3012
385	979
2366	2155
5363	1682
5269	2581
11703	1835
12836	2481
8783	2171
591	973
124	3268
7162	869
1681	3276
6961	3266
4162	1002
4162	1002
4650	1311
10002	1289
6422	1021
6422	1021
2144	3313
7343	1211
12396	2580
8927	1137
14760	1595
4395	1099
17406	860
12106	2440
5721	1088
5094	2734
5094	2734
17444	996
12433	3101
10770	981
16048	2619
14989	1855
11443	1035
14590	1324
15169	2910
12382	1606
16636	1121
4854	869
10625	3290
11417	3234
9107	1289
9107	1289
11036	1868
9345	1306
9386	3325
3838	1441
3838	1441
11553	922
10737	1974
14537	1353
11170	2181
17708	1472
312	1102
12832	2494
14397	1668
11077	1422
14648	1124
6837	3302
503	985
5259	2584
9829	3292
6941	2220
4638	1021
17448	1943
13540	1289
5254	1323
6977	1159
7334	2163
10981	1795
4321	3282
4321	3282
6767	1998
6767	1998
1595	1092
1595	1092
11594	2721
436	2304
11674	1329
10493	1082
7322	3158
8842	1231
6397	989
6397	989
14592	1695
233	3281
11602	1888
11558	1224
16375	3258
16375	3258
16375	3258
16375	3258
2439	1476
17078	1817
2111	965
11597	2090
11185	1622
11185	1622
9675	2545
591	1139
14674	1605
10671	2423
10671	2423
6345	983
6345	983
1452	3225
6254	2262
6254	2262
11162	868
11162	868
11157	1368
11157	1368
15499	2174
13549	2218
12036	1896
16327	1208
16327	1208
16327	1208
13162	1753
4464	1343
11214	2754
11214	2754
4252	1145
14605	1821
4823	1458
10044	988
10976	2721
11943	3296
12367	2565
10921	3313
10490	1123
6675	1093
6675	1093
9904	3263
17740	3291
17740	3291
3632	3223
16168	1395
7342	3140
11818	3278
